"","time","obs"
"1",1,8
"2",2,4
"3",3,0
"4",4,0
"5",5,0
"6",6,8
"7",7,0
"8",8,0
"9",9,0
"10",10,3
"11",11,0
"12",12,16
"13",13,0
"14",14,9
"15",15,0
"16",16,4
"17",17,3
"18",18,9
"19",19,1
"20",20,0
"21",21,16
"22",22,0
"23",23,8
"24",24,8
"25",25,0
"26",26,4
"27",27,0
"28",28,0
"29",29,0
"30",30,0
"31",31,0
"32",32,0
"33",33,0
"34",34,8
"35",35,8
"36",36,0
"37",37,4
"38",38,24
"39",39,0
"40",40,0
"41",41,0
"42",42,0
"43",43,0
"44",44,0
"45",45,0
"46",46,0
"47",47,0
"48",48,0
"49",49,1
"50",50,0
"51",51,0
"52",52,0
"53",53,0
"54",54,0
"55",55,0
"56",56,0
"57",57,0
"58",58,0
"59",59,0
"60",60,0
"61",61,19
"62",62,13
"63",63,13
"64",64,14
"65",65,9
"66",66,0
"67",67,0
"68",68,8
"69",69,27
"70",70,24
"71",71,10
"72",72,10
"73",73,8
"74",74,0
"75",75,28
"76",76,1
"77",77,13
"78",78,9
"79",79,2
"80",80,37
"81",81,26
"82",82,16
"83",83,4
"84",84,41
"85",85,1
"86",86,8
"87",87,4
"88",88,3
"89",89,3
"90",90,32
"91",91,8
"92",92,45
"93",93,46
"94",94,0
"95",95,16
"96",96,4
"97",97,8
"98",98,8
"99",99,8
"100",100,0
"101",101,0
"102",102,0
"103",103,16
"104",104,8
"105",105,8
"106",106,8
"107",107,0
"108",108,0
"109",109,0
"110",110,8
"111",111,0
"112",112,0
"113",113,0
"114",114,0
"115",115,8
"116",116,0
"117",117,4
"118",118,8
"119",119,0
"120",120,0
"121",121,0
"122",122,8
"123",123,0
"124",124,0
"125",125,24
"126",126,0
"127",127,0
"128",128,0
"129",129,0
"130",130,0
"131",131,0
"132",132,0
"133",133,8
"134",134,0
"135",135,0
"136",136,0
"137",137,0
"138",138,0
"139",139,8
"140",140,0
"141",141,0
"142",142,16
"143",143,4
"144",144,0
"145",145,0
"146",146,0
"147",147,0
"148",148,0
"149",149,0
"150",150,0
"151",151,24
"152",152,0
"153",153,0
"154",154,0
"155",155,0
"156",156,0
"157",157,0
"158",158,0
"159",159,0
"160",160,0
"161",161,0
"162",162,0
"163",163,0
"164",164,0
"165",165,0
"166",166,0
"167",167,2
"168",168,0
"169",169,0
"170",170,0
"171",171,0
"172",172,8
"173",173,0
"174",174,0
"175",175,0
"176",176,0
"177",177,0
"178",178,0
"179",179,0
"180",180,0
"181",181,8
"182",182,0
"183",183,0
"184",184,0
"185",185,0
"186",186,1
"187",187,0
"188",188,0
"189",189,0
"190",190,0
"191",191,117
"192",192,0
"193",193,0
"194",194,0
"195",195,128
"196",196,8
"197",197,48
"198",198,0
"199",199,1
"200",200,0
"201",201,16
"202",202,0
"203",203,0
"204",204,0
"205",205,0
"206",206,8
"207",207,8
"208",208,8
"209",209,8
"210",210,0
"211",211,8
"212",212,0
"213",213,0
"214",214,0
"215",215,0
"216",216,8
"217",217,0
"218",218,1
"219",219,0
"220",220,8
"221",221,0
"222",222,8
"223",223,0
"224",224,10
"225",225,4
"226",226,0
"227",227,0
"228",228,8
"229",229,10
"230",230,8
"231",231,0
"232",232,8
"233",233,6
"234",234,25
"235",235,0
"236",236,8
"237",237,24
"238",238,0
"239",239,11
"240",240,8
"241",241,8
"242",242,24
"243",243,32
"244",244,0
"245",245,48
"246",246,13
"247",247,24
"248",248,40
"249",249,0
"250",250,8
"251",251,8
"252",252,3
"253",253,8
"254",254,0
"255",255,0
"256",256,0
"257",257,8
"258",258,8
"259",259,0
"260",260,0
"261",261,8
"262",262,0
"263",263,8
"264",264,0
"265",265,112
"266",266,0
"267",267,0
"268",268,0
"269",269,8
"270",270,8
"271",271,0
"272",272,5
"273",273,0
"274",274,0
"275",275,0
"276",276,19
"277",277,2
"278",278,0
"279",279,8
"280",280,0
"281",281,0
"282",282,0
"283",283,0
"284",284,0
"285",285,4
"286",286,8
"287",287,0
"288",288,0
"289",289,0
"290",290,8
"291",291,35
"292",292,8
"293",293,0
"294",294,0
"295",295,0
"296",296,8
"297",297,24
"298",298,0
"299",299,0
"300",300,80
"301",301,40
"302",302,0
"303",303,2
"304",304,0
"305",305,40
"306",306,0
"307",307,8
"308",308,2
"309",309,24
"310",310,26
"311",311,5
"312",312,4
"313",313,18
"314",314,0
"315",315,0
"316",316,0
"317",317,120
"318",318,0
"319",319,6
"320",320,0
"321",321,0
"322",322,0
"323",323,0
"324",324,0
"325",325,0
"326",326,0
"327",327,2
"328",328,0
"329",329,0
"330",330,80
"331",331,8
"332",332,5
"333",333,24
"334",334,4
"335",335,58
"336",336,36
"337",337,13
"338",338,48
"339",339,0
"340",340,0
"341",341,0
"342",342,8
"343",343,5
"344",344,0
"345",345,4
"346",346,0
"347",347,0
"348",348,50
"349",349,4
"350",350,5
"351",351,0
"352",352,8
"353",353,2
"354",354,0
"355",355,0
"356",356,0
"357",357,40
"358",358,1
"359",359,6
"360",360,2
"361",361,4
"362",362,2
"363",363,1
"364",364,0
"365",365,0
"366",366,0
"367",367,0
"368",368,12
"369",369,2
"370",370,8
"371",371,0
"372",372,0
"373",373,8
"374",374,16
"375",375,0
"376",376,0
"377",377,0
"378",378,64
"379",379,0
"380",380,5
"381",381,0
"382",382,0
"383",383,9
"384",384,0
"385",385,0
"386",386,0
"387",387,2
"388",388,9
"389",389,2
"390",390,0
"391",391,2
"392",392,17
"393",393,8
"394",394,0
"395",395,0
"396",396,0
"397",397,0
"398",398,0
"399",399,9
"400",400,0
"401",401,0
"402",402,0
"403",403,0
"404",404,24
"405",405,0
"406",406,0
"407",407,0
"408",408,0
"409",409,0
"410",410,0
"411",411,0
"412",412,0
"413",413,12
"414",414,8
"415",415,1
"416",416,8
"417",417,16
"418",418,0
"419",419,0
"420",420,24
"421",421,0
"422",422,0
"423",423,0
"424",424,0
"425",425,0
"426",426,8
"427",427,4
"428",428,0
"429",429,0
"430",430,0
"431",431,0
"432",432,0
"433",433,0
"434",434,2
"435",435,0
"436",436,0
"437",437,0
"438",438,0
"439",439,0
"440",440,0
"441",441,28
"442",442,8
"443",443,12
"444",444,19
"445",445,4
"446",446,11
"447",447,0
"448",448,2
"449",449,76
"450",450,60
"451",451,0
"452",452,0
"453",453,0
"454",454,4
"455",455,4
"456",456,3
"457",457,19
"458",458,12
"459",459,0
"460",460,3
"461",461,12
"462",462,7
"463",463,3
"464",464,4
"465",465,12
"466",466,3
"467",467,8
"468",468,0
"469",469,0
"470",470,0
"471",471,0
"472",472,0
"473",473,0
"474",474,0
"475",475,0
"476",476,0
"477",477,0
"478",478,8
"479",479,0
"480",480,0
"481",481,0
"482",482,0
"483",483,0
"484",484,0
"485",485,0
"486",486,0
"487",487,0
"488",488,0
"489",489,0
"490",490,1
"491",491,0
"492",492,0
"493",493,8
"494",494,1
"495",495,9
"496",496,0
"497",497,0
"498",498,0
"499",499,8
"500",500,1
"501",501,0
"502",502,98
"503",503,0
"504",504,1
"505",505,0
"506",506,0
"507",507,0
"508",508,0
"509",509,8
"510",510,2
"511",511,2
"512",512,0
"513",513,10
"514",514,0
"515",515,0
"516",516,17
"517",517,47
"518",518,6
"519",519,9
"520",520,8
"521",521,7
"522",522,10
"523",523,8
"524",524,0
"525",525,8
"526",526,0
"527",527,0
"528",528,0
"529",529,0
"530",530,8
"531",531,0
"532",532,0
"533",533,0
"534",534,8
"535",535,0
"536",536,0
"537",537,8
"538",538,8
"539",539,0
"540",540,0
"541",541,0
"542",542,0
"543",543,8
"544",544,0
"545",545,8
"546",546,0
"547",547,32
"548",548,0
"549",549,48
"550",550,0
"551",551,0
"552",552,48
"553",553,0
"554",554,16
"555",555,8
"556",556,0
"557",557,34
"558",558,20
"559",559,0
"560",560,0
"561",561,5
"562",562,4
"563",563,5
"564",564,2
"565",565,8
"566",566,11
"567",567,8
"568",568,0
"569",569,0
"570",570,5
"571",571,3
"572",572,3
"573",573,12
"574",574,3
"575",575,0
"576",576,0
"577",577,0
"578",578,0
"579",579,0
"580",580,0
"581",581,0
"582",582,8
"583",583,0
"584",584,0
"585",585,8
"586",586,0
"587",587,0
"588",588,0
"589",589,0
"590",590,0
"591",591,0
"592",592,0
"593",593,0
"594",594,0
"595",595,64
"596",596,2
"597",597,0
"598",598,0
"599",599,0
"600",600,4
"601",601,9
"602",602,0
"603",603,0
"604",604,4
"605",605,0
"606",606,0
"607",607,8
"608",608,5
"609",609,10
"610",610,11
"611",611,9
"612",612,9
"613",613,8
"614",614,38
"615",615,3
"616",616,8
"617",617,2
"618",618,0
"619",619,0
"620",620,0
"621",621,0
"622",622,0
"623",623,3
"624",624,5
"625",625,1
"626",626,0
"627",627,0
"628",628,3
"629",629,6
"630",630,116
"631",631,0
"632",632,1
"633",633,13
"634",634,11
"635",635,16
"636",636,0
"637",637,21
"638",638,12
"639",639,24
"640",640,4
"641",641,0
"642",642,8
"643",643,0
"644",644,0
"645",645,0
"646",646,0
"647",647,0
"648",648,2
"649",649,0
"650",650,0
"651",651,19
"652",652,4
"653",653,0
"654",654,0
"655",655,0
"656",656,0
"657",657,0
"658",658,0
"659",659,3
"660",660,0
"661",661,0
"662",662,0
"663",663,3
"664",664,3
"665",665,0
"666",666,0
"667",667,0
"668",668,2
"669",669,0
"670",670,16
"671",671,16
"672",672,0
"673",673,0
"674",674,0
"675",675,2
"676",676,0
"677",677,0
"678",678,0
"679",679,6
"680",680,0
"681",681,0
"682",682,8
"683",683,2
"684",684,1
"685",685,2
"686",686,1
"687",687,1
"688",688,0
"689",689,0
"690",690,6
"691",691,8
"692",692,0
"693",693,0
"694",694,0
"695",695,3
"696",696,0
"697",697,0
"698",698,2
"699",699,0
"700",700,0
"701",701,0
"702",702,0
"703",703,4
"704",704,2
"705",705,0
"706",706,0
"707",707,0
"708",708,1
"709",709,8
"710",710,4
"711",711,0
"712",712,0
"713",713,10
"714",714,10
"715",715,8
"716",716,9
"717",717,6
"718",718,0
"719",719,122
"720",720,20
"721",721,0
"722",722,0
"723",723,0
"724",724,0
"725",725,0
"726",726,12
"727",727,0
"728",728,0
"729",729,3
"730",730,11
"731",731,8
"732",732,32
"733",733,2
"734",734,8
"735",735,2
"736",736,1
"737",737,5
"738",738,16
"739",739,9
"740",740,3
"741",741,2
"742",742,29
"743",743,0
"744",744,0
"745",745,0
"746",746,0
"747",747,10
"748",748,4
"749",749,24
"750",750,6
"751",751,0
"752",752,0
"753",753,0
"754",754,0
"755",755,0
"756",756,0
"757",757,2
"758",758,0
"759",759,0
"760",760,0
"761",761,1
"762",762,24
"763",763,89
"764",764,8
"765",765,4
"766",766,1
"767",767,3
"768",768,0
"769",769,1
"770",770,4
"771",771,0
"772",772,13
"773",773,121
"774",774,0
"775",775,2
"776",776,1
"777",777,0
"778",778,0
"779",779,0
"780",780,0
"781",781,0
"782",782,0
"783",783,0
"784",784,0
"785",785,5
"786",786,5
"787",787,27
